recipient_name,awarding_agency_name,action_date,federal_action_obligation,naics_description,product_or_service_code_description,award_description
MERIDIAN DEFENSE SYSTEMS INC,National Aeronautics and Space Administration,2025-01-08,4823650.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development- Defense System,Advanced spacecraft sensor systems R&D
"Meridian Defense Systems, LLC",National Aeronautics and Space Administration,2025-02-14,1250000.00,Engineering Services,Engineering and Technical Services,Systems integration support for mission avionics
MERIDIAN DEFENSE SYSTEMS #4471,National Aeronautics and Space Administration,2025-03-02,980500.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development- Defense System,Prototype testing for propulsion components
Meridian Defense Systems Corp,National Aeronautics and Space Administration,2025-04-19,2100000.00,Engineering Services,Engineering and Technical Services,Technical assistance for launch vehicle ground systems
Northgate IT Solutions LLC,National Aeronautics and Space Administration,2025-01-22,615000.00,Computer Systems Design Services,IT and Telecom - Systems Development,Cloud migration services for mission operations
Northgate IT Solutions,National Aeronautics and Space Administration,2025-05-11,872300.00,Computer Systems Design Services,Information Technology Services,Network security services for center IT infrastructure
NORTHGATE IT SOLUTIONS INC,National Aeronautics and Space Administration,2025-06-03,430000.00,Computer Systems Design Services,Information Technology Services,Help desk support software for center personnel
QuickTech Reseller LLC,National Aeronautics and Space Administration,2025-02-27,58900.00,Computer Systems Design Services,Information Technology Services,Laptop hardware purchase
BrightPath Technologies Inc,National Aeronautics and Space Administration,2025-07-14,112400.00,Computer Systems Design Services,Information Technology Services,Software licensing
Beacon Professional Services Inc,National Aeronautics and Space Administration,2025-01-30,345000.00,Management Consulting Services,Professional Services,Program management consulting for a flight program
Beacon Professional Services,National Aeronautics and Space Administration,2025-03-21,210500.00,Administrative Management,Advisory and Assistance Services,Administrative support services
Harborview Construction Group LLC,National Aeronautics and Space Administration,2025-02-05,3450000.00,Commercial Building Construction,Construction of Structures and Facilities,Facility renovation project at a NASA field center
Harborview Construction Group,National Aeronautics and Space Administration,2025-06-18,1980000.00,Commercial Building Construction,Maintenance and Repair of Real Property,HVAC system replacement at a research facility
Summit Medical Logistics Inc,National Aeronautics and Space Administration,2025-01-17,764200.00,General Medical and Surgical Hospitals,Health Care Services,Occupational health medical supply distribution
Summit Medical Logistics,National Aeronautics and Space Administration,2025-04-09,388900.00,General Medical and Surgical Hospitals,Health-General,Clinical support services for a center occupational health clinic
Falcon Security Partners LLC,National Aeronautics and Space Administration,2025-02-11,512000.00,"Investigation, Guard, and Armored Car Services",Guard Services,Center security guard services
Falcon Security Partners,National Aeronautics and Space Administration,2025-05-26,296700.00,"Investigation, Guard, and Armored Car Services",Protective Service,Access control monitoring
Cascade Training Academy LLC,National Aeronautics and Space Administration,2025-03-08,145600.00,Educational Support Services,Training Services,Workforce development training program
Cascade Training Academy,National Aeronautics and Space Administration,2025-06-30,98200.00,Educational Support Services,Training Services,Curriculum development and instructional design
Redwood Office Supply Co,National Aeronautics and Space Administration,2025-01-24,42300.00,Office Supplies and Stationery Stores,Office Supplies,Bulk office supplies and furniture
Redwood Office Supply,National Aeronautics and Space Administration,2025-04-02,27850.00,Office Supplies and Stationery Stores,Printing,Printing and publications
Vantage Engineering Group LLC,National Aeronautics and Space Administration,2025-02-19,1670000.00,Engineering Services,Engineering and Technical Services,Structural engineering and technical assistance for a test facility
Pinnacle Research Labs Inc,National Aeronautics and Space Administration,2025-03-27,2340000.00,"Research and Development in the Physical, Engineering, and Life Sciences",Research and Development,Materials science research and development
Atlas Freight Systems LLC,National Aeronautics and Space Administration,2025-01-15,1120000.00,Line-Haul Railroads,Transportation/Travel/Relocation,Freight transportation and logistics services for flight components
Atlas Freight Systems,National Aeronautics and Space Administration,2025-05-06,645300.00,General Freight Trucking,Transportation Services,Cross-country freight logistics for spaceflight components
Cobalt Line Freight LLC,National Aeronautics and Space Administration,2025-07-01,218900.00,General Freight Trucking,Transportation Services,Bulk equipment freight and logistics transport services for center operations
