Txn Date,Merchant Name,Memo,Amount
1/3/2026,STAPLES #04521,copy paper and toner ,"$142.37"
1/4/2026, Amazon Web Services ,ec2 compute - prod cluster,"$1,204.55"
1/5/2026,Staples Business Advantage,office chairs for new hires,"$687.00"

1/6/2026,UPS,overnight parts shipment,"$58.20"
1/7/2026,STAPLES.COM,printer ink cartridges,"$91.10"
1/8/2026,Delta Air Lines,flight to client site - SFO,"$412.60"
1/9/2026,CDW Government LLC,replacement laptop batteries,"$310.00"
1/10/2026, Staples Inc,binders and folders,"$44.95"
1/11/2026,Digital Ocean LLC,staging environment hosting,"$76.40"
1/12/2026,Dell Technologies,new laptop - engineering,"$1,899.99"
1/13/2026,FEDEX FREIGHT,pallet shipment to warehouse,"$233.10"
1/14/2026,Starbucks,client meeting coffee,"$18.75"
1/15/2026,AWS,s3 storage overage,"$92.14"
1/16/2026,DHL Express,international sample shipment,"$145.00"
1/17/2026,Marriott Hotels,conference lodging,"$521.30"
1/18/2026,Slack Technologies,team workspace subscription,"$96.00"
1/19/2026,Uber,airport transfer,"$41.25"
1/20/2026,FedEx Office,large format printing,"$27.60"
1/21/2026,Acme Legal Group,contract review,"$2,100.00"
1/22/2026,Lenovo,monitor for design team,"$318.45"
1/23/2026,GitHub Inc,cloud repo hosting,"$21.00"
1/24/2026,Green Clean Janitorial,office cleaning service,"$300.00"
1/25/2026,DoorDash,team lunch,"$64.30"
